Impressions Bought,Advertising Revenue,Advertising Cost,Advertising ROI,Price Promotion Budget,Price Promotion Revenue,Total Revenue
0,0.0,0.0,0.0,1000.0,6000.0,6000.0
500,118.0,25.0,3.72,975.0,5850.0,5968.0
1000,214.0,50.0,3.28,950.0,5700.0,5914.0
1500,304.0,75.0,3.0533333333333332,925.0,5550.0,5854.0
2000,426.0,100.0,3.26,900.0,5400.0,5826.0
2500,560.0,125.0,3.48,875.0,5250.0,5810.0
3000,666.0,150.0,3.44,850.0,5100.0,5766.0
3500,758.0,175.0,3.3314285714285714,825.0,4950.0,5708.0
4000,880.0,200.0,3.4,800.0,4800.0,5680.0
4500,976.0,225.0,3.3377777777777777,775.0,4650.0,5626.0
5000,1112.0,250.0,3.448,750.0,4500.0,5612.0
5500,1230.0,275.0,3.4727272727272727,725.0,4350.0,5580.0
6000,1322.0,300.0,3.4066666666666667,700.0,4200.0,5522.0
6500,1454.0,325.0,3.473846153846154,675.0,4050.0,5504.0
7000,1548.0,350.0,3.422857142857143,650.0,3900.0,5448.0
7500,1654.0,375.0,3.4106666666666667,625.0,3750.0,5404.0
8000,1762.0,400.0,3.405,600.0,3600.0,5362.0
8500,1868.0,425.0,3.395294117647059,575.0,3450.0,5318.0
9000,1986.0,450.0,3.4133333333333336,550.0,3300.0,5286.0
9500,2114.0,475.0,3.4505263157894737,525.0,3150.0,5264.0
10000,2226.0,500.0,3.452,500.0,3000.0,5226.0
10500,2334.0,525.0,3.4457142857142857,475.0,2850.0,5184.0
11000,2462.0,550.0,3.4763636363636365,450.0,2700.0,5162.0
11500,2572.0,575.0,3.4730434782608697,425.0,2550.0,5122.0
12000,2690.0,600.0,3.4833333333333334,400.0,2400.0,5090.0
12500,2810.0,625.0,3.496,375.0,2250.0,5060.0
13000,2940.0,650.0,3.523076923076923,350.0,2100.0,5040.0
13500,3056.0,675.0,3.5274074074074075,325.0,1950.0,5006.0
14000,3152.0,700.0,3.5028571428571427,300.0,1800.0,4952.0
14500,3254.0,725.0,3.4882758620689653,275.0,1650.0,4904.0
15000,3368.0,750.0,3.490666666666667,250.0,1500.0,4868.0
15500,3494.0,775.0,3.5083870967741935,225.0,1350.0,4844.0
16000,3614.0,800.0,3.5175,200.0,1200.0,4814.0
16500,3734.0,825.0,3.526060606060606,175.0,1050.0,4784.0
17000,3834.0,850.0,3.510588235294118,150.0,900.0,4734.0
17500,3964.0,875.0,3.5302857142857142,125.0,750.0,4714.0
18000,4076.0,900.0,3.528888888888889,100.0,600.0,4676.0
18500,4176.0,925.0,3.5145945945945947,75.0,450.0,4626.0
19000,4288.0,950.0,3.513684210526316,50.0,300.0,4588.0
19500,4396.0,975.0,3.5087179487179485,25.0,150.0,4546.0
20000,4502.0,1000.0,3.502,0.0,0.0,4502.0
